,value,label,label2,codigo,cidade,lat,lng,cep,hora,cod
15,JUAZEIRO DO NORTE AEROPORTO,"JUAZEIRO DO NORTE AEROPORTO,JDOC01,Aeroporto",JUAZEIRO DO NORTE AEROPORTO,JDOC01,JUAZEIRO DO NORTE,-7.213632,-39.280995,63020-735,Segunda a Sábado - 23:00 às 18:00 |  Domingos e Feriados - 23:00 às 18:00,AEROPORTO
16,BRASILIA AEROPORTO,"BRASILIA AEROPORTO,BSB,Aeroporto",BRASILIA AEROPORTO,BSB,BRASÍLIA,-15.870915,-47.932112,71608-900,Todos os dias - 24h (inclusive feriados).,AEROPORTO
17,BRASILIA SIA,"BRASILIA SIA,BSBC02,RUA",BRASILIA SIA,BSBC02,BRASÍLIA,-15.8063765,-47.9569296,71200-020,Segunda a Sexta - 07:00 às 19:00 | Sábado - 08:00 às 14:00 | Domingo e Feriado: Fechada,cidade
18,VITORIA SANTA LUCIA,"VITORIA SANTA LUCIA,VIXC01,RUA",VITORIA SANTA LUCIA,VIXC01,VITÓRIA,-20.303247,-40.300154,29056-260,Segunda a Sexta - 8:00 às 17:00 | Sábado - 8:00 às 12:00 | Domingo e Feriado: Fechada.,cidade
19,VITORIA AEROPORTO,"VITORIA AEROPORTO,VIX,Aeroporto",VITORIA AEROPORTO,VIX,VITÓRIA,-20.264209,-40.282989,29075-685,Todos os dias - 24h,AEROPORTO
20,ANAPOLIS,"ANAPOLIS,MOVANP,RUA",ANAPOLIS,MOVANP,ANÁPOLIS,-16.340481,-48.954222,75123-115,Segunda a Sexta - 08:00 às 18:00 | Sábados - 08:00 às 12:00 | Domingos e Feriados - fechada.,cidade
21,APARECIDA DE GOIANIA,"APARECIDA DE GOIANIA,MOVAG,RUA",APARECIDA DE GOIANIA,MOVAG,APARECIDA DE GOIÂNIA,-16.74549,-49.282641,74916-260,Segunda a Sexta - 07:00 às 19:00 | Sábados - 07:00 às 12:00 | Domingos e Feriados - fechada.,cidade
22,GOIANIA AEROPORTO,"GOIANIA AEROPORTO,GYN,Aeroporto",GOIANIA AEROPORTO,GYN,GOIÂNIA,-16.628425,-49.207465,74672-842,Todos os dias - 24h (inclusive feriados),AEROPORTO
23,GOIANIA REPUBLICA DO LIBANO,"GOIANIA REPUBLICA DO LIBANO,MOVHCG,RUA",GOIANIA REPUBLICA DO LIBANO,MOVHCG,GOIÂNIA,-16.683027,-49.266432,74115-030,Segunda a Sexta - 07:00 às 19:00 | Sábados - 08:00 às 12:00 | Domingos e Feriado - Fechada.,cidade
24,RIO VERDE,"RIO VERDE,MOVRVD,RUA",RIO VERDE,MOVRVD,RIO VERDE,-17.800993,-50.943231,75908-570,Segunda a Sexta: 08:00 às 18:00 | Sábados - 8:00 às 12:00 | Domingos e Feriados -  Fechada,cidade
